id,type,geometry/type,geometry/coordinates/0,geometry/coordinates/1,properties/localidad,properties/LocalidadUriDbpedia,properties/numero de bombardeos,properties/fechas,properties/bando,properties/descripcion,properties/fuente,properties/observaciones
11,Feature,Point,-2.50499356254171,43.09649151471518,Portugalete,http://dbpedia.org/resource/Portugalete,3,24/10/1936  26/10/1936  05/11/1936,Republicano,La zona del alto de Kanpantzar fue bombardeada en 3 ocasiones entre octubre y noviembre de 1936. La aviación republicana bombardeó posiciones franquistas que se encontraban en esta zona cercana a Elorrio. No se dispone de datos sobre el número de víctimas que pudieron producir estos bombardeos. ,Jefatura del Aire. Estado Mayor. Información (octubre a diciembre 1936). (JAEMI)  El Liberal  EL Noticiero Bilbaíno  Euzkadi,
12,Feature,Point,-2.505765362661843,43.0970912282771,Portugalete,http://dbpedia.org/resource/Portugalete,4,Desde 01/10/1936 hasta  01/04/1937,Franquista,La zona del alto de Kanpantzar fue bombardeada en 4 ocasiones entre octubre de 1936 y abril de 1937. La aviación franquista bombardeó posiciones republicanas que se encontraban en esta zona cercana a Elorrio. No se dispone de datos sobre el número de víctimas que pudieron producir estos bombardeos. ,"Jefatura del Aire. Estado Mayor. Información (octubre a diciembre 1936). (JAEMI)  Diario de Richtofen. Maier, Klaus A., Guernica. La intervención alemana en España y el “caso Guernica�?, Sedmay, Madrid, 1976, pp. 98-132.  Orden de Misión de las Fuerzas Aéreas del Norte. (OMFAN)  El Liberal  El Noticiero Bilbaíno  Euzkadi",
13,Feature,Point,-2.544876619327683,43.130650134384084,Elorrio,http://dbpedia.org/resource/Elorrio,7,Desde 12/11/1936 hasta 25/04/1937,Franquista,"Elorrio fue bombardeado en 7 ocasiones entre noviembre de 1936 y abril de 1937. En una ocasión el bombardeo se dirigió contra la zona de Garbe. Como consecuencia de estos bombardeos resultaron dañadas varias casas y caseríos de la zona, así como el edificio del Batzoki, el de Asistencia Social, los hoteles de Paz Misericordia y Viuda de Arregui, la ermita de San Fausto y el palacio del marqués de Tola. Además se registraron al menos 9 víctimas debido a los ataques, si bien no es una cifra definitiva. En al menos 2 de los ataques no hubo víctimas, según las crónicas de la época. ","Jefatura del Aire. Estado Mayor. Información (octubre a diciembre 1936). (JAEMI)  Jefatura del Aire. Resumen de las operaciones del día. 3ª Sección (enero a agosto 1937). (JAROD)  Arma de Aviación. Parte de Operaciones. (AAPO)  Attivitá Giornaliera dell’Aviazione Legionaria. British Intelligence. Kew archives. HW 21 1. (AGALBI)  Informes de Henry Chilton, embajador de Gran Bretaña, a los servicios de inteligencia aérea británicos. (IHCh)  Scrittori sulla guerra civile spagnola. Ministero degli Affari Esteri, Gabinetto del Ministro 1236. (SSGCS)  IRARGI, Euskadiko Ondarearen Zentroa/Centro de Patrimonio Documental de Euskadi, Doc. GE-0037-03. Relación de víctimas causadas por la aviación facciosa en sus incursiones del mes de abril de 1937.  Attivitá Giornaliera dell´Aviazione Legionaria del Continente dal Luglio 1936 al Dicember 1937, Vol. 1.(AGAL)  Ministerio de Guerra de la República. Sección de información. Resumen de Noticias (MGSI)  Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Euzkadi  El Liberal  El Noticiero Bilbaíno  La Gaceta del Norte  El Pensamiento Alavés",
14,Feature,Point,-2.5487126709251573,43.16906498986113,Zaldibar,http://dbpedia.org/resource/Zaldibar,1,29/09/1936,Franquista,"Según la crónica de ""El Noticiero Bilbaíno"" tres bombas fueron lanzadas en la zona de Sallovente, en Zaldibar, aparentemente sin causar daños reseñables.",El Noticiero Bilbaíno,
15,Feature,Point,-2.5493679025649087,43.24987626972141,Bolibar (Alava),"http://dbpedia.org/resource/Bolívar,_Álava",1,26/04/1937,Franquista,"La aviación franquista bombardeó el pueblo de Bolibar el 26 de abril de 1937, siempre según el testimonio de George Steer. No se dispone de más información.",Testimonio de George Steer,
17,Feature,Point,-2.560504764428215,43.0670744664168,Tellamendi,http://dbpedia.org/resource/Tellamendi,4,Desde 07/04/1937 hasta 22/04/1937,Franquista,"La aviación franquista bombardeó hasta en cuatro ocasiones las posiciones republicanas en la zona de Tellamendi, en el barrio de Ibarra, Aramaio. Se realizaron 4 bombardeos, todos ellos en abril de 1937.  ",Euzkadi  Partes de Misión de las Fuerzas Aéreas del Norte. (PMFAN)  Testimonio de George Steer. ,
16,Feature,Point,-2.558330106358569,43.10406257215944,Axpe Achondo,http://dbpedia.org/resource/Atxondo,2,22/04/1937  23/04/1937,Franquista,"La aviación franquista bombardeó las posiciones republicanas en la zona del monte Memaia, perteneciente a Elorrio. No disponemos de información sobre las consecuencias de estos ataques. ",Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA)  Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN)  Testimonio de George Steer,
19,Feature,Point,-2.5669296725048274,43.04868587188337,Aramaio,http://dbpedia.org/resource/Aramaio,2,07/04/1937  08/04/1937,Franquista,"La aviación franquista bombardeó en dos ocasiones las posiciones republicanas en la zona de Amillondo, perteneciente a Aramaio. Los ataques se produjeron en abril de 1937. ",Partes de Misión de las Fuerzas Aéreas del Norte. (PMFAN),
18,Feature,Point,-2.5626258410354827,43.297046266004216,Aulesti,http://dbpedia.org/resource/Aulesti,2,16/11/1936  18/11/1936,Franquista,"La zona de Aulesti y principalmente el barrio de Malax fueron bombardeados dos veces en noviembre de 1936. En uno de los ataques no se produjeron víctimas, mientras que no se dispone de información al respecto en el segundo caso.",Jefatura del Aire. Estado Mayor. Información (octubre a diciembre 1936). (JAEMI)  El Liberal (17/11/1936)  El Noticiero Bilbaíno  Euzkadi  El Nervión  La Gaceta del Norte ,
21,Feature,Point,-2.577048655372159,43.17489279263173,Berriz,http://dbpedia.org/resource/Berriz,5,Desde 29/09/1936 hasta 17/06/1937,Franquista,"Berriz fue bombardeado hasta en 5 ocasiones entre septiembre de 1936 y junio de 1937, participando en los ataques la aviación italiana. Las zonas de Olakueta y Uribe fueron dañadas debido a los bombardeos, y en las crónicas de la época se mencionan víctimas causadas por los ataques, si bien no disponemos de más información a este respecto.","Attivitá Giornaliera dell’Aviazione Legionaria del Continente dal Luglio 1936 al Dicember 1937. Volume 1. Uffizio Storico de la Aeronautica Militare, OMS Operazione Militare Spagna, AM Busta 70. (AGAL)  IRARGI, Euskadiko Ondarearen Zentroa/Centro de Patrimonio Documental de Euskadi, Doc. GE-0037-03. Relación de víctimas causadas por la aviación facciosa en sus incursiones del mes de abril de 1937.  Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN)  Euzkadi  El Noticiero Bilbaíno  Testimonio de George Steer",
20,Feature,Point,-2.5765730861887337,43.19522486756361,Gaztelumendi,http://www.wikidata.org/entity/Q12258316,1,11/06/1937,Franquista,La aviación franquista bombardeó las posiciones republicanas en el cerro de Urruzti y en la zona del monte Gaztelumendi. La aviación italiana tomó parte en el bombardeo. No se dispone de información al respecto de las consecuencias de este ataque. ,Attivitá Giornaliera dell’Aviazione Legionaria. British Intelligence. Kew archives. HW 21 1. (AGALBI)  Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN)  El Pensamiento Alavés,
23,Feature,Point,-2.591320669472269,43.22756492868808,Oiz,http://dbpedia.org/resource/Oiz,1,26/04/1937,Franquista,La aviación franquista bombardeó las posiciones republicanas en el monte Oiz.  La Legión Cóndor alemana participó en el ataque. No se dispone de información sobre las consecuencias del mismo. ,Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA),
22,Feature,Point,-2.584164763453038,43.129690863519556,Apatamonasterio,http://www.wikidata.org/entity/Q2839788,1,22/04/1937,Franquista,"La aviación franquista bombardeó el pueblo y las inmediaciones de Apatamonasterio, sin que se produjeran víctimas. ","Aviazione Legionaria. Comando Base Aerea Salamanca. Attivit�  di Volo. (ALAVO)  Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  IRARGI, Euskadiko Ondarearen Zentroa/Centro de Patrimonio Documental de Euskadi, Doc. GE-0037-03. Relación de víctimas causadas por la aviación facciosa en sus incursiones del mes de abril de 1937.  Euzkadi",
25,Feature,Point,-2.5922166162941975,43.26560771354318,Munitibar-Arbatzegi-Gerrikaitz,http://dbpedia.org/resource/Munitibar-Arbatzegi-Gerrikaitz,1,26/04/1937,Franquista,La aviación franquista bombardeó el municipio de Munitibar y los barrios de Arbatzategi y Gerrikaitz pertenecientes al mismo. El Gobierno Vasco registró en el mes de abril de 1937 30 muertos y 12 heridos en este lugar. El corresponsal Mathieu Corman del periódico “Paris Ce Soir�? habló de 9 “Heinkel He51�? que bombardearon Gerrikaitz al mediodía del 26 de abril. Richtofen escribió en su diario: “A/88 y J/88 de caza sobre las carreteras de la zona de Markina-Gernika-Gerrikaitz.�? El día 30 añadió que no quedaba una casa en pie en Gerrikaitz. ,"IRARGI, Euskadiko Ondarearen Zentroa/Centro de Patrimonio Documental de Euskadi, Doc. GE-0037-03. Relación de víctimas causadas por la aviación facciosa en sus incursiones del mes de abril de 1937.  Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Diario de Richtofen. Maier, Klaus A., Guernica. La intervención alemana en España y el “caso Guernica�?, Sedmay, Madrid, 1976, pp. 98-132.  Testimonios de George Steer, Mathieu Corman, Enrike Goitiandia, Joxe Mari Gerrikabeitia y Alberto Onaindia",
24,Feature,Point,-2.593409798482832,42.97118376514407,Plencia,http://dbpedia.org/resource/Plentzia,2,02/12/1936  03/12/1936,Republicano,La aviación republicana bombardeó la zona de Isuskitza en el frente alavés en 2 ocasiones. ,El Noticiero Bilbaíno  El Liberal ,
27,Feature,Point,-2.5962491812094344,43.08792882341815,Anboto,http://dbpedia.org/resource/Anboto,1,20/04/1937,Franquista,"La aviación franquista bombardeó las posiciones republicanas en la zona del monte Anboto, perteneciente a Abadiño. No se dispone de información sobre los efectos de este bombardeo.",Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN),
26,Feature,Point,-2.5953547966939032,43.05370771342843,Anboto,http://dbpedia.org/resource/Anboto,1,04/04/1937,Franquista,Bombardeo de posiciones enemigas en la zona de la sierra de Arangio. No se dispone de datos sobre el número de víctimas. ,Partes de la Misión de las Fuerzas Aéreas del Norte (PMFAN),
29,Feature,Point,-2.605622980584958,42.998085087766434,Pais Vasco,http://dbpedia.org/resource/Pais_Vasco,3,09/10/1936  31/03/1937  04/04/1937,Republicano y Franquista,"La zona del monte Jarindo en Aramaio fue bombardeada, primero por el bando republicano, que bombardeó las posiciones franquistas en la zona en octubre de 1936  y después en dos ocasiones por el bando franquista, en marzo y abril de 1937. Estos bombardeos tuvieron como objetivo tropas enemigas. No se dispone de información acerca del número de víctimas. ","El Noticiero Bilbaíno  Euzkadi  Diario de Richtofen. Maier, Klaus A., Guernica. La intervención alemana en España y el “caso Guernica�?, Sedmay, Madrid, 1976, pp. 98-132.  Partes de Misión de las Fuerzas Aéreas del Norte. (PMFAN)  ",
28,Feature,Point,-2.5974618459477323,43.11659438606776,Axpe Achondo,http://dbpedia.org/resource/Atxondo,3,22/04/1937  10/05/1937  12/05/1937,Franquista,"La población de Axpe fue bombardeada en tres ocasiones entre abril y mayo de 1937, tomando parte en los ataques la aviación italiana. En una de ellas no se produjeron víctimas  no se dispone de datos al respecto en los otros dos casos.",Aviazione Legionaria. Comando Base Aerea Salamanca. Attivit�  di Volo. (ALAVO)  El Liberal,
31,Feature,Point,-2.608782800195804,43.34726389168841,Akorda-Bollar,http://www.wikidata.org/entity/Q12253032,1,17/10/1937,Franquista,"Según la crónica del ""Euzkadi"" la aviación franquista bombardeó las posiciones republicanas en la zona de Akorda-Bollar, lanzando cuatro proyectiles. No se dispone de información sobre si hubo o no víctimas. ",Euzkadi,
30,Feature,Point,-2.6077734275860176,42.93781251560984,Arrazua-Ubarrundia,http://dbpedia.org/resource/Arratzua-Ubarrundia,1,10/03/1937,Republicano,Bombardeo por parte de la artillería republicana de varios pueblos en los que se encontraban las tropas enemigas. No se da más información,El Noticiero Bilbaíno  El Liberal ,
34,Feature,Point,-2.631707444311583,43.16529154066121,Durango (Spain),http://dbpedia.org/resource/Durango_(Spain),14,Desde 25/09/1936 hasta 29/04/1937,Franquista,"Durango fue bombardeado al menos en 14 ocasiones entre septiembre de 1936 y abril de 1937. Fue una de las poblaciones más castigadas por los ataques aéreos. Buena parte de la ciudad resultó dañada, y sabemos que sufrieron daños la estación de tren, el frontón Ezkurdi, la parroquia de Santa María, la residencia de los jesuitas,  el convento de Santa Susana y numerosos edificios y casas. Participaron en estos ataques la aviación alemana e italiana, con los grupos J/88 y F/88 y aviones de los modelos “Heinkel He51�? , Messerschmitt Bf.109�?,“Heinkel He45�? y “Fiat Cr.32�?.  Buena parte de los bombardeos se produjeron en abril de 1937. Respecto al número de víctimas, si bien no podemos dar cifras exactas, sabemos que hubo más de 100 en los meses anteriores a abril de 1937, y más de 350 en total, pudiendo ser incluso más. Estas cifras convierten a Durango en una de las poblaciones que más víctimas tuvo durante el conflicto en el País Vasco.","Jefatura del Aire. Resumen de las operaciones del día. 3ª Sección (enero a agosto 1937). (JAROD)  Attivitá Giornaliera dell’Aviazione Legionaria. British Intelligence. Kew archives. HW 21 1. (AGALBI)  Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Diario de Richtofen. Maier, Klaus A., Guernica. La intervención alemana en España y el “caso Guernica�?, Sedmay, Madrid, 1976, pp. 98-132.  IRARGI, Euskadiko Ondarearen Zentroa/Centro de Patrimonio Documental de Euskadi, Doc. GE-0037-03. Relación de víctimas causadas por la aviación facciosa en sus incursiones del mes de abril de 1937.  Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA) Ejército del Norte. Estado Mayor. Tercera Sección. Partes de Operaciones. (ENEMPO)  Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN)  Attivitá Giornaliera dell’Aviazione Legionaria del Continente dal Luglio 1936 al Dicember 1937. Volume 1. Uffizio Storico de la Aeronautica Militare, OMS Operazione Militare Spagna, AM Busta 70. (AGAL)  Comando Aviazione Legionaria. Jefatura del’Aire. Salamanca. Velani [Vincenzo Velardi], comendante della Aviazione Legionaria. (CALJA)  Aviazione Legionaria. Comando Base Aerea Salamanca. Attivit�  di Volo. (ALAVO)  Scrittori sulla guerra civile spagnola. Ministero degli Affari Esteri, Gabinetto del Ministro 1236. (SSGCS)  Ministerio de Guerra de la República. Sección de información. Resumen de Noticias (MGSI)  Informes de Henry Chilton, embajador de Gran Bretaña, a los servicios de inteligencia aérea británicos. (IHCh)  Euzkadi  El Liberal  El Noticiero Bilbaíno  La Gaceta del Norte  Testimonios de Joxe Iturria y George Steer. ",
35,Feature,Point,-2.63782725978205,42.94363157565206,Álava,http://dbpedia.org/resource/Álava,1,10/03/1937,Republicano,Bombardeo por parte de la artillería republicana de varios pueblos en los que se encontraban las tropas enemigas. No se da más información. ,El Noticiero Bilbaíno  El Liberal ,
32,Feature,Point,-2.6102724911816892,43.15144025095592,Abadiño,http://dbpedia.org/resource/Abadiño,2,29/09/1936  22/04/1937,Franquista,"El pueblo de Abadiño fue bombardeado en dos ocasiones durante la guerra civil, en septiembre de 1936 y en abril de 1937. No se dispone de información sobre los daños o sobre el número de víctimas. En uno de los casos tan solo fue arrojada una bomba en el pueblo, según la crónica de la época aparecida en ""El Noticiero Bilbaíno""","IRARGI, Euskadiko Ondarearen Zentroa/Centro de Patrimonio Documental de Euskadi, Doc. GE-0037-03. Relación de víctimas causadas por la aviación facciosa en sus incursiones del mes de abril de 1937.  El Noticiero Bilbaíno",
33,Feature,Point,-2.6288903658047595,43.01770849418338,Álava,http://dbpedia.org/resource/Álava,1,05/04/1937,Franquista,La aviación franquista bombardeó las posiciones republicanas en la zona del monte Tantaibakar. No se dispone de más información sobre este bombardeo.,Euzkadi,
38,Feature,Point,-2.6423072744263325,42.980029193570296,Legutiano,http://dbpedia.org/resource/Legutio,20,Desde 26/08/1936 hasta 31/03/1937,Republicano,"El pueblo de Villarreal-Legutiano fue bombardeado hasta en 20 ocasiones entre agosto de 1936 y marzo de 1937 por parte de la aviación republicana. Era una zona estratégica en la que se encontraban posiciones franquistas que fueron atacadas en múltiples ocasiones. Las zonas de Nafarrete, Urbina, Salmendi,Urrunaga, Goiain, Albierta y Ollerrieta fueron bombardeadas. Se causaron grandes destrozos en el pueblo. No se dispone de datos sobre el número de víctimas que causaron los bombardeos. ",El Noticiero Bilbaíno  La Gaceta del Norte  El Liberal  El Pensamiento Alavés  Euzkadi  Jefatura del Aire. Estado Mayor. Información (octubre a diciembre 1936). (JAEMI)  Arma de Aviación. Parte de Operaciones. (AAPO)  Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA)  Testimonio de George Steer ,
39,Feature,Point,-2.646372591119945,43.10069634516611,Urkiola,http://dbpedia.org/resource/Urkiola,5,Desde 02/04/1937 hasta 17/04/1937,Franquista,"Las posiciones republicanas en la zona de Urkiola fueron bombardeadas en cinco ocasiones durante el mes de abril de 1937. La iglesia que hay en este lugar resultó dañada. En tres de estos bombardeos no hubo víctimas, según las crónicas de ""Euzkadi"". No se dispone de datos a este respecto en los otros dos casos. En una ocasión, siempre según ""Euzkadi"", la aviación franquista bombardeó sus propias posiciones.  ",Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Partes de Misión de las Fuerzas Aéreas del Norte. (PMFAN)  Euzkadi,
36,Feature,Point,-2.6378604091916795,43.257625630024684,Munitibar-Arbatzegi-Gerrikaitz,http://dbpedia.org/resource/Munitibar-Arbatzegi-Gerrikaitz,2,20/05/1937  22/05/1937,Franquista,"La aviación franquista bombardeó en dos ocasiones la zona de Urrutxua en el barrio de Albiz, en Mendata, durante el mes de mayo de 1937. No se dispone de más información. ",Euzkadi,
37,Feature,Point,-2.64219125170959,42.980016917183654,Villareal,"http://dbpedia.org/resource/Villareal,_Samar",,26/08/1936,Republicano,Bombardeo realizado por la aviación republicana. Se menciona a los pilotos José María Yanguas y Julio Alegría. Se bombardeó una columna enemiga en la zona de Villarreal-Legutiano. Se ocasionaron “algunas bajas�?,"El Noticiero Bilbaíno (27/08/1936), Frente Popular (26/08/1936)",
42,Feature,Point,-2.6544755460077627,43.03995806769819,Ochandiano,http://dbpedia.org/resource/Otxandio,15,Desde 22/07/1936 hasta 25/04/1937,Franquista,"Otxandiano fue bombardeo al menos en 15 ocasiones entre julio  de 1936 y abril de 1937. Aviones de los modelos “Junker Ju52�?, “Heinkel 51�? y “DCA�? bombardearon la población en diversas ocasiones, causando importantes destrozos en todo el casco urbano de Otxandiano.  No se conoce el número exacto de víctimas de todos los bombardeos, pero solamente con las que están documentadas a través de periódicos de la época o de informes del Gobierno Vasco llegan a 98 entre los muertos y los heridos. Otxandiano fue uno de los pueblos más castigados por este tipo de bombardeos, que el comandante alemán Richtofen calificó en una ocasión como ""Ensayo de nuevo método de bombardeo"". Podemos afirmar que Otxandiano fue objeto de un experimento de guerra durante este periodo. ","Arma de Aviación. Parte de Operaciones. (AAPO)  Jefatura del Aire. Estado Mayor. Información (octubre a diciembre 1936). (JAEMI)  Diario de Richtofen. Maier, Klaus A., Guernica. La intervención alemana en España y el “caso Guernica�?, Sedmay, Madrid, 1976, pp. 98-132.  IRARGI, Euskadiko Ondarearen Zentroa/Centro de Patrimonio Documental de Euskadi, Doc. GE-0037-03. Relación de víctimas causadas por la aviación facciosa en sus incursiones del mes de abril de 1937.  Ministerio de Guerra de la República. Sección de información. Resumen de Noticias (MGSI)  Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA)  Orden de Misión de las Fuerzas Aéreas del Norte. (OMFAN)  Scrittori sulla guerra civile spagnola. Ministero degli Affari Esteri, Gabinetto del Ministro 1236. (SSGCS)  Informes de Henry Chilton, embajador de Gran Bretaña, a los servicios de inteligencia aérea británicos. (IHCh)  Attivitá Giornaliera dell’Aviazione Legionaria. British Intelligence. Kew archives. HW 21 1. (AGALBI)  Attivitá Giornaliera dell’Aviazione Legionaria del Continente dal Luglio 1936 al Dicember 1937. Volume 1.  Uffizio Storico de la Aeronautica Militare, OMS Operazione Militare Spagna, AM Busta 70. (AGAL)  Comando Aviazione Legionaria. Jefatura del’Aire. Salamanca. Velani [Vincenzo Velardi], comendante della  Aviazione Legionaria. (CALJA)  El Liberal  El Noticiero Bilbaíno  El Nervión  Euzkadi  La Gaceta del Norte  Testimonios de George Steer, Carmelo Bernaola y José Antonio Marulagoitia.  ",
43,Feature,Point,-2.659719955614938,43.1391631041016,Mañaria,http://dbpedia.org/resource/Mañaria,5,Desde 02/04/1937 hasta 15/04/1937,Franquista,Mañaria fue bombardeada en cinco ocasiones en abril de 1937. La aviación franquista bombardeó las posiciones republicanas en la zona. Los grupos K/88 y A/88 de la aviación alemana tomaron parte en dichos ataques. Se desconoce el número de víctimas que pudieron causar. ,"Scrittori sulla guerra civile spagnola. Ministero degli Affari Esteri, Gabinetto del Ministro 1236. (SSGCS)  Informes de Henry Chilton, embajador de Gran Bretaña, a los servicios de inteligencia aérea británicos. (IHCh)  Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA)  Partes de Misión de las Fuerzas Aéreas del Norte. (PMFAN)  Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN)  Diario de Richtofen. Maier, Klaus A., Guernica. La intervención alemana en España y el “caso Guernica�?, Sedmay, Madrid, 1976, pp. 98-132.",
40,Feature,Point,-2.6462804517327942,43.31361354678293,Arratzu,http://dbpedia.org/resource/Arratzu,1,26/04/1937,Franquista,"La aviación franquista bombardeó Arratzu el 26 de abril de 1937, causando la muerte a una persona e hiriendo a otras dos.","IRARGI, Euskadiko Ondarearen Zentroa/Centro de Patrimonio Documental de Euskadi, Doc. GE-0037-03. Relación de víctimas causadas por la aviación facciosa en sus incursiones del mes de abril de 1937.",
