LOCALIDAD;NUMERO DE BOMBARDEOS;FECHAS;XETRS89;YETRS89;BANDO;DESCRIPCIÓN;FUENTE;OBSERVACIONES;;
Elorrio;7;Desde 12/11/1936 hasta 25/04/1937;537017.6876;4775423.953;Franquista;Elorrio fue bombardeado en 7 ocasiones entre noviembre de 1936 y abril de 1937. En una ocasión el bombardeo se dirigió contra la zona de Garbe. Como consecuencia de estos bombardeos resultaron dañadas varias casas y caseríos de la zona, así como el edificio del Batzoki, el de Asistencia Social, los hoteles de Paz Misericordia y Viuda de Arregui, la ermita de San Fausto y el palacio del marqués de Tola. Además se registraron al menos 9 víctimas debido a los ataques, si bien no es una cifra definitiva. En al menos 2 de los ataques no hubo víctimas, según las crónicas de la época. ;Jefatura del Aire. Estado Mayor. Información (octubre a diciembre 1936). (JAEMI)  Jefatura del Aire. Resumen de las operaciones del día. 3ª Sección (enero a agosto 1937). (JAROD)  Arma de Aviación. Parte de Operaciones. (AAPO)  Attivitá Giornaliera dell?Aviazione Legionaria. British Intelligence. Kew archives. HW 21 1. (AGALBI)  Informes de Henry Chilton, embajador de Gran Bretaña, a los servicios de inteligencia aérea británicos. (IHCh)  Scrittori sulla guerra civile spagnola. Ministero degli Affari Esteri, Gabinetto del Ministro 1236. (SSGCS)  IRARGI, Euskadiko Ondarearen Zentroa/Centro de Patrimonio Documental de Euskadi, Doc. GE-0037-03. Relación de víctimas causadas por la aviación facciosa en sus incursiones del mes de abril de 1937.  Attivitá Giornaliera dell´Aviazione Legionaria del Continente dal Luglio 1936 al Dicember 1937, Vol. 1.(AGAL)  Ministerio de Guerra de la República. Sección de información. Resumen de Noticias (MGSI)  Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Euzkadi  El Liberal  El Noticiero Bilbaíno  La Gaceta del Norte  El Pensamiento Alavés;;;
Zaldibar;1;29/09/1936;536682.6994;4779688.291;Franquista;Según la crónica de "El Noticiero Bilbaíno" tres bombas fueron lanzadas en la zona de Sallovente, en Zaldibar, aparentemente sin causar daños reseñables.;El Noticiero Bilbaíno;;;
Bolibar;1;26/04/1937;536581.1122;4788662.307;Franquista;La aviación franquista bombardeó el pueblo de Bolibar el 26 de abril de 1937, siempre según el testimonio de George Steer. No se dispone de más información.;Testimonio de George Steer;;;
Memaia;2;22/04/1937  23/04/1937;535938.9968;4772465.528;Franquista;La aviación franquista bombardeó las posiciones republicanas en la zona del monte Memaia, perteneciente a Elorrio. No disponemos de información sobre las consecuencias de estos ataques. ;Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA)  Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN)  Testimonio de George Steer;;;
Tellamendi;4;Desde 07/04/1937 hasta 22/04/1937;535783.5659;4768357.062;Franquista;La aviación franquista bombardeó hasta en cuatro ocasiones las posiciones republicanas en la zona de Tellamendi, en el barrio de Ibarra, Aramaio. Se realizaron 4 bombardeos, todos ellos en abril de 1937.  ;Euzkadi  Partes de Misión de las Fuerzas Aéreas del Norte. (PMFAN)  Testimonio de George Steer. ;;;
Aulesti;2;16/11/1936  18/11/1936;535477.4552;4793895.001;Franquista;La zona de Aulesti y principalmente el barrio de Malax fueron bombardeados dos veces en noviembre de 1936. En uno de los ataques no se produjeron víctimas, mientras que no se dispone de información al respecto en el segundo caso.;Jefatura del Aire. Estado Mayor. Información (octubre a diciembre 1936). (JAEMI)  El Liberal (17/11/1936)  El Noticiero Bilbaíno  Euzkadi  El Nervión  La Gaceta del Norte ;;;
Amillondo;2;07/04/1937  08/04/1937;535270.9893;4766312.295;Franquista;La aviación franquista bombardeó en dos ocasiones las posiciones republicanas en la zona de Amillondo, perteneciente a Aramaio. Los ataques se produjeron en abril de 1937. ;Partes de Misión de las Fuerzas Aéreas del Norte. (PMFAN);;;
Gaztelumendi;1;11/06/1937;534403.3824;4782581.572;Franquista;La aviación franquista bombardeó las posiciones republicanas en el cerro de Urruzti y en la zona del monte Gaztelumendi. La aviación italiana tomó parte en el bombardeo. No se dispone de información al respecto de las consecuencias de este ataque. ;Attivitá Giornaliera dell?Aviazione Legionaria. British Intelligence. Kew archives. HW 21 1. (AGALBI)  Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN)  El Pensamiento Alavés;;;
Berriz;5;Desde 29/09/1936 hasta 17/06/1937;534376.1493;4780323.457;Franquista;Berriz fue bombardeado hasta en 5 ocasiones entre septiembre de 1936 y junio de 1937, participando en los ataques la aviación italiana. Las zonas de Olakueta y Uribe fueron dañadas debido a los bombardeos, y en las crónicas de la época se mencionan víctimas causadas por los ataques, si bien no disponemos de más información a este respecto.;Attivitá Giornaliera dell?Aviazione Legionaria del Continente dal Luglio 1936 al Dicember 1937. Volume 1. Uffizio Storico de la Aeronautica Militare, OMS Operazione Militare Spagna, AM Busta 70. (AGAL)  IRARGI, Euskadiko Ondarearen Zentroa/Centro de Patrimonio Documental de Euskadi, Doc. GE-0037-03. Relación de víctimas causadas por la aviación facciosa en sus incursiones del mes de abril de 1937.  Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN)  Euzkadi  El Noticiero Bilbaíno  Testimonio de George Steer;;;
Apatamonasterio;1;22/04/1937;533822.6914;4775300.82;Franquista;La aviación franquista bombardeó el pueblo y las inmediaciones de Apatamonasterio, sin que se produjeran víctimas. ;Aviazione Legionaria. Comando Base Aerea Salamanca. Attività di Volo. (ALAVO)  Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  IRARGI, Euskadiko Ondarearen Zentroa/Centro de Patrimonio Documental de Euskadi, Doc. GE-0037-03. Relación de víctimas causadas por la aviación facciosa en sus incursiones del mes de abril de 1937.  Euzkadi;;;
Monte Oiz;1;26/04/1937;533187.6017;4786167.064;Franquista;La aviación franquista bombardeó las posiciones republicanas en el monte Oiz.  La Legión Cóndor alemana participó en el ataque. No se dispone de información sobre las consecuencias del mismo. ;Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA);;;
Isuskitza;2;02/12/1936  03/12/1936;533156;4757695;Republicano;La aviación republicana bombardeó la zona de Isuskitza en el frente alavés en 2 ocasiones. ;El Noticiero Bilbaíno  El Liberal ;;;
Munitibar;1;26/04/1937;533094.2431;4790391.485;Franquista;La aviación franquista bombardeó el municipio de Munitibar y los barrios de Arbatzategi y Gerrikaitz pertenecientes al mismo. El Gobierno Vasco registró en el mes de abril de 1937 30 muertos y 12 heridos en este lugar. El corresponsal Mathieu Corman del periódico ?Paris Ce Soir? habló de 9 ?Heinkel He51? que bombardearon Gerrikaitz al mediodía del 26 de abril. Richtofen escribió en su diario: ?A/88 y J/88 de caza sobre las carreteras de la zona de Markina-Gernika-Gerrikaitz.? El día 30 añadió que no quedaba una casa en pie en Gerrikaitz. ;IRARGI, Euskadiko Ondarearen Zentroa/Centro de Patrimonio Documental de Euskadi, Doc. GE-0037-03. Relación de víctimas causadas por la aviación facciosa en sus incursiones del mes de abril de 1937.  Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Diario de Richtofen. Maier, Klaus A., Guernica. La intervención alemana en España y el ?caso Guernica?, Sedmay, Madrid, 1976, pp. 98-132.  Testimonios de George Steer, Mathieu Corman, Enrike Goitiandia, Joxe Mari Gerrikabeitia y Alberto Onaindia;;;
Arangio;1;04/04/1937;532953.2414;4766858.415;Franquista;Bombardeo de posiciones enemigas en la zona de la sierra de Arangio. No se dispone de datos sobre el número de víctimas. ;Partes de la Misión de las Fuerzas Aéreas del Norte (PMFAN);;;
Anboto;1;20/04/1937;532862.1169;4770658.314;Franuqista;La aviación franquista bombardeó las posiciones republicanas en la zona del monte Anboto, perteneciente a Abadiño. No se dispone de información sobre los efectos de este bombardeo.;Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN);;;
Axpe;3;22/04/1937  10/05/1937  12/05/1937;532748.1333;4773841.164;Franquista;La población de Axpe fue bombardeada en tres ocasiones entre abril y mayo de 1937, tomando parte en los ataques la aviación italiana. En una de ellas no se produjeron víctimas  no se dispone de datos al respecto en los otros dos casos.;Aviazione Legionaria. Comando Base Aerea Salamanca. Attività di Volo. (ALAVO)  El Liberal;;;
Monte Jarindo;3;09/10/1936  31/03/1937  04/04/1937;532146.0371;4760677.598;Republicano y Franquista;La zona del monte Jarindo en Aramaio fue bombardeada, primero por el bando republicano, que bombardeó las posiciones franquistas en la zona en octubre de 1936  y después en dos ocasiones por el bando franquista, en marzo y abril de 1937. Estos bombardeos tuvieron como objetivo tropas enemigas. No se dispone de información acerca del número de víctimas. ;El Noticiero Bilbaíno  Euzkadi  Diario de Richtofen. Maier, Klaus A., Guernica. La intervención alemana en España y el ?caso Guernica?, Sedmay, Madrid, 1976, pp. 98-132.  Partes de Misión de las Fuerzas Aéreas del Norte. (PMFAN)  ;;;
Ullibarri-Ganboa;1;10/03/1937;532001.9821;4753983.637;Republicano;Bombardeo por parte de la artillería republicana de varios pueblos en los que se encontraban las tropas enemigas. No se da más información;El Noticiero Bilbaíno  El Liberal ;;;
Akorda-Bollar;1;17/10/1937;531707.3189;4799453.34;Franquista;Según la crónica del "Euzkadi" la aviación franquista bombardeó las posiciones republicanas en la zona de Akorda-Bollar, lanzando cuatro proyectiles. No se dispone de información sobre si hubo o no víctimas. ;Euzkadi;;;
Abadiño;2;29/09/1936  22/04/1937;531687.937;4777705.91;Franquista;El pueblo de Abadiño fue bombardeado en dos ocasiones durante la guerra civil, en septiembre de 1936 y en abril de 1937. No se dispone de información sobre los daños o sobre el número de víctimas. En uno de los casos tan solo fue arrojada una bomba en el pueblo, según la crónica de la época aparecida en "El Noticiero Bilbaíno";IRARGI, Euskadiko Ondarearen Zentroa/Centro de Patrimonio Documental de Euskadi, Doc. GE-0037-03. Relación de víctimas causadas por la aviación facciosa en sus incursiones del mes de abril de 1937.  El Noticiero Bilbaíno;;;
Tantaibakar;1;05/04/1937;530239.8613;4762848.11;Franquista;La aviación franquista bombardeó las posiciones republicanas en la zona del monte Tantaibakar. No se dispone de más información sobre este bombardeo.;Euzkadi;;;
Durango;14;Desde 25/09/1936 hasta 29/04/1937;529938.3404;4779236.232;Franquista;Durango fue bombardeado al menos en 14 ocasiones entre septiembre de 1936 y abril de 1937. Fue una de las poblaciones más castigadas por los ataques aéreos. Buena parte de la ciudad resultó dañada, y sabemos que sufrieron daños la estación de tren, el frontón Ezkurdi, la parroquia de Santa María, la residencia de los jesuitas,  el convento de Santa Susana y numerosos edificios y casas. Participaron en estos ataques la aviación alemana e italiana, con los grupos J/88 y F/88 y aviones de los modelos ?Heinkel He51? , Messerschmitt Bf.109?,?Heinkel He45? y ?Fiat Cr.32?.  Buena parte de los bombardeos se produjeron en abril de 1937. Respecto al número de víctimas, si bien no podemos dar cifras exactas, sabemos que hubo más de 100 en los meses anteriores a abril de 1937, y más de 350 en total, pudiendo ser incluso más. Estas cifras convierten a Durango en una de las poblaciones que más víctimas tuvo durante el conflicto en el País Vasco.;Jefatura del Aire. Resumen de las operaciones del día. 3ª Sección (enero a agosto 1937). (JAROD)  Attivitá Giornaliera dell?Aviazione Legionaria. British Intelligence. Kew archives. HW 21 1. (AGALBI)  Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Diario de Richtofen. Maier, Klaus A., Guernica. La intervención alemana en España y el ?caso Guernica?, Sedmay, Madrid, 1976, pp. 98-132.  IRARGI, Euskadiko Ondarearen Zentroa/Centro de Patrimonio Documental de Euskadi, Doc. GE-0037-03. Relación de víctimas causadas por la aviación facciosa en sus incursiones del mes de abril de 1937.  Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA) Ejército del Norte. Estado Mayor. Tercera Sección. Partes de Operaciones. (ENEMPO)  Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN)  Attivitá Giornaliera dell?Aviazione Legionaria del Continente dal Luglio 1936 al Dicember 1937. Volume 1. Uffizio Storico de la Aeronautica Militare, OMS Operazione Militare Spagna, AM Busta 70. (AGAL)  Comando Aviazione Legionaria. Jefatura del?Aire. Salamanca. Velani [Vincenzo Velardi], comendante della Aviazione Legionaria. (CALJA)  Aviazione Legionaria. Comando Base Aerea Salamanca. Attività di Volo. (ALAVO)  Scrittori sulla guerra civile spagnola. Ministero degli Affari Esteri, Gabinetto del Ministro 1236. (SSGCS)  Ministerio de Guerra de la República. Sección de información. Resumen de Noticias (MGSI)  Informes de Henry Chilton, embajador de Gran Bretaña, a los servicios de inteligencia aérea británicos. (IHCh)  Euzkadi  El Liberal  El Noticiero Bilbaíno  La Gaceta del Norte  Testimonios de Joxe Iturria y George Steer. ;;;
Urbina;1;10/03/1937;529547.0882;4754618.831;Republicano;Bombardeo por parte de la artillería republicana de varios pueblos en los que se encontraban las tropas enemigas. No se da más información. ;El Noticiero Bilbaíno  El Liberal ;;;
Urrutxua;2;20/05/1937  22/05/1937;529393.7924;4789487.988;Franquista;La aviación franquista bombardeó en dos ocasiones la zona de Urrutxua en el barrio de Albiz, en Mendata, durante el mes de mayo de 1937. No se dispone de más información. ;Euzkadi;;;
Villareal;;26/08/1936;529173.8643;4758657.816;Republicano;Bombardeo realizado por la aviación republicana. Se menciona a los pilotos José María Yanguas y Julio Alegría. Se bombardeó una columna enemiga en la zona de Villarreal-Legutiano. Se ocasionaron ?algunas bajas?;El Noticiero Bilbaíno (27/08/1936), Frente Popular (26/08/1936);;;
Villarreal-Legutiano;20;Desde 26/08/1936 hasta 31/03/1937;529164.3986;4758659.139;Republicano;El pueblo de Villarreal-Legutiano fue bombardeado hasta en 20 ocasiones entre agosto de 1936 y marzo de 1937 por parte de la aviación republicana. Era una zona estratégica en la que se encontraban posiciones franquistas que fueron atacadas en múltiples ocasiones. Las zonas de Nafarrete, Urbina, Salmendi,Urrunaga, Goiain, Albierta y Ollerrieta fueron bombardeadas. Se causaron grandes destrozos en el pueblo. No se dispone de datos sobre el número de víctimas que causaron los bombardeos. ;El Noticiero Bilbaíno  La Gaceta del Norte  El Liberal  El Pensamiento Alavés  Euzkadi  Jefatura del Aire. Estado Mayor. Información (octubre a diciembre 1936). (JAEMI)  Arma de Aviación. Parte de Operaciones. (AAPO)  Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA)  Testimonio de George Steer ;;;
Urkiola;5;Desde 02/04/1937 hasta 17/04/1937;528776.4861;4772057.731;Franquista;Las posiciones republicanas en la zona de Urkiola fueron bombardeadas en cinco ocasiones durante el mes de abril de 1937. La iglesia que hay en este lugar resultó dañada. En tres de estos bombardeos no hubo víctimas, según las crónicas de "Euzkadi". No se dispone de datos a este respecto en los otros dos casos. En una ocasión, siempre según "Euzkadi", la aviación franquista bombardeó sus propias posiciones.  ;Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Partes de Misión de las Fuerzas Aéreas del Norte. (PMFAN)  Euzkadi;;;
Arratzu;1;26/04/1937;528684.0434;4795702.744;Franquista;La aviación franquista bombardeó Arratzu el 26 de abril de 1937, causando la muerte a una persona e hiriendo a otras dos.;IRARGI, Euskadiko Ondarearen Zentroa/Centro de Patrimonio Documental de Euskadi, Doc. GE-0037-03. Relación de víctimas causadas por la aviación facciosa en sus incursiones del mes de abril de 1937.;;;
Gautegiz-Arteaga;1;27/04/1937;528402.9396;4800063.174;Franquista;La aviación franquista bombardeo el pueblo de Gautegiz-Arteaga en abril de 1937, causando la muerte a cuatro personas e hiriendo a otras dos. La aviación italiana participó en el ataque.;Comando Aviazione Legionaria. Jefatura del?Aire. Salamanca. Velani [Vincenzo Velardi], comendante della  Aviazione Legionaria. (CALJA)  IRARGI, Euskadiko Ondarearen Zentroa/Centro de Patrimonio Documental de Euskadi, Doc. GE-0037-03. Relación de víctimas causadas por la aviación facciosa en sus incursiones del mes de abril de 1937. ;;;
Otxandiano;15;Desde 22/07/1936 hasta 25/04/1937;528144.884;4765310.008;Franquista;Otxandiano fue bombardeo al menos en 15 ocasiones entre julio  de 1936 y abril de 1937. Aviones de los modelos ?Junker Ju52?, ?Heinkel 51? y ?DCA? bombardearon la población en diversas ocasiones, causando importantes destrozos en todo el casco urbano de Otxandiano.  No se conoce el número exacto de víctimas de todos los bombardeos, pero solamente con las que están documentadas a través de periódicos de la época o de informes del Gobierno Vasco llegan a 98 entre los muertos y los heridos. Otxandiano fue uno de los pueblos más castigados por este tipo de bombardeos, que el comandante alemán Richtofen calificó en una ocasión como "Ensayo de nuevo método de bombardeo". Podemos afirmar que Otxandiano fue objeto de un experimento de guerra durante este periodo. ;Arma de Aviación. Parte de Operaciones. (AAPO)  Jefatura del Aire. Estado Mayor. Información (octubre a diciembre 1936). (JAEMI)  Diario de Richtofen. Maier, Klaus A., Guernica. La intervención alemana en España y el ?caso Guernica?, Sedmay, Madrid, 1976, pp. 98-132.  IRARGI, Euskadiko Ondarearen Zentroa/Centro de Patrimonio Documental de Euskadi, Doc. GE-0037-03. Relación de víctimas causadas por la aviación facciosa en sus incursiones del mes de abril de 1937.  Ministerio de Guerra de la República. Sección de información. Resumen de Noticias (MGSI)  Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA)  Orden de Misión de las Fuerzas Aéreas del Norte. (OMFAN)  Scrittori sulla guerra civile spagnola. Ministero degli Affari Esteri, Gabinetto del Ministro 1236. (SSGCS)  Informes de Henry Chilton, embajador de Gran Bretaña, a los servicios de inteligencia aérea británicos. (IHCh)  Attivitá Giornaliera dell?Aviazione Legionaria. British Intelligence. Kew archives. HW 21 1. (AGALBI)  Attivitá Giornaliera dell?Aviazione Legionaria del Continente dal Luglio 1936 al Dicember 1937. Volume 1.  Uffizio Storico de la Aeronautica Militare, OMS Operazione Militare Spagna, AM Busta 70. (AGAL)  Comando Aviazione Legionaria. Jefatura del?Aire. Salamanca. Velani [Vincenzo Velardi], comendante della  Aviazione Legionaria. (CALJA)  El Liberal  El Noticiero Bilbaíno  El Nervión  Euzkadi  La Gaceta del Norte  Testimonios de George Steer, Carmelo Bernaola y José Antonio Marulagoitia.  ;;;
 Mañaria;5;Desde 02/04/1937 hasta 15/04/1937;527673;4776325;Franquista;Mañaria fue bombardeada en cinco ocasiones en abril de 1937. La aviación franquista bombardeó las posiciones republicanas en la zona. Los grupos K/88 y A/88 de la aviación alemana tomaron parte en dichos ataques. Se desconoce el número de víctimas que pudieron causar. ;Scrittori sulla guerra civile spagnola. Ministero degli Affari Esteri, Gabinetto del Ministro 1236. (SSGCS)  Informes de Henry Chilton, embajador de Gran Bretaña, a los servicios de inteligencia aérea británicos. (IHCh)  Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA)  Partes de Misión de las Fuerzas Aéreas del Norte. (PMFAN)  Partes de operaciones de las Fuerzas Aéreas del Norte. (POFAN)  Diario de Richtofen. Maier, Klaus A., Guernica. La intervención alemana en España y el ?caso Guernica?, Sedmay, Madrid, 1976, pp. 98-132.;;;
Betolaza;2;15/12/1936  21/12/1936;527218.1769;4754062.508;Franquista;La aviación franquista bombardeó el pueblo de Betolatza en Arratzua-Ubarrundia. Se produjeron dos ataques entre el 15 y el 21 de diciembre de 1936;Euzkadi  El Noticiero Bilbaíno  Jefatura del aire. Estado Mayor. Información (octubre a diciembre 1936). (JAEMI);;;
Sebigain;3;05/04/1937  06/04/1937  13/04/1937;527095.7604;4771827.518;Franquista;Las posiciones republicanas situadas en el monte Sebigain fueron bombardeadas tres veces durante el mes de abril de 1937.  El propio Franco y el general Kindelán estuvieron presentes junto al comandante de la aviación alemana Richtofen en uno de los ataques. Este último escribió esto: "la acción empezó en mi ausencia, algo inexactamente. Una parte de las bombas cae en la infantería propia, que sin embargo toma Sebigan. Error particularmente penoso, porque Franco y Kindelán querían justamente contemplar el terreno de lucha en colaboración con nosotros?. No se dispone de información sobre el número de víctimas que pudieron causar estos ataques.;Diario de Richtofen. Maier, Klaus A., Guernica. La intervención alemana en España y el ?caso Guernica?, Sedmay, Madrid, 1976, pp. 98-132.  Legión Cóndor. Informe a la Jefatura del Aire de Salamanca. (LCIJA);;;
Vitoria-Gasteiz;10;Desde 17/09/1936 hasta 29/05/1937;526742.2256;4744143.891;Republicano;La aviación republicana bombardeó en un total de 10 ocasiones la ciudad de Vitoria-Gasteiz. Los bombardeos se produjeron entre septiembre de 1936 y mayo de 1937. Estos ataques causaron grandes daños en fábricas, cuarteles de Caballería, en la estación del Norte así como otros objetivos que no se especifican. No se dispone de una información concreta sobre el número de víctimas que se pudieron producir debido a estos bombardeos. ;El Noticiero Bilbaíno  El Liberal  El Pensamiento Alavés  Euzkadi  Jefatura del Aire. Estado Mayor. Información (octubre a diciembre 1936). (JAEMI)  ;;;
Ajangiz;1;26/04/1937;526464.2716;4794238.06;Franquista;La aviación franquista bombardeó el pueblo de Ajangiz. No se dispone de más información.;Euzkadi;;;
Ibarruri;2;30/04/1937  02/05/1937;526399.1953;4787607.583;Franquista;La aviación franquista bombardeo la anteiglesia de Ibarruri, perteneciente a Muxika, en dos ocasiones. Aviones de los modelos ?Heinkel He45? y ?Breguet Br.19? participaron en los ataques. No se dispone de información sobre el número de víctimas que pudieron causar;Jefatura del Aire. Resumen de las operaciones del día. 3ª Sección (enero a agosto 1937). (JAROD)  Coronel Jefe de Estado Mayor. Tercera Sección. Resumen de las Operaciones. (CJEMRO)  Euzkadi;;;
